,LINK,sector,company_code,company_name
172,http://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20,engines,GC20,greavescotton
173,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/greenplyindustries/GI19,miscellaneous,GI19,greenplyindustries
174,http://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN,abrasives,GN,grindwellnorton
175,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,financehousing,GRU,gruhfinance
176,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratstatefertilizerschemicals/GSF,fertilisers,GSF,gujaratstatefertilizerschemicals
177,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01,chemicals,GAC01,gujaratalkalieschemicals
178,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratfluorochemicals/GF07,chemicals,GF07,gujaratfluorochemicals
179,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratheavychemicals/GHC,chemicals,GHC,gujaratheavychemicals
180,http://www.moneycontrol.com/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD,miningminerals,GMD,gujaratmineraldevelopmentcorporation
181,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,oildrillingandexploration,GSP02,gujaratstatepetronet
182,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratgas/GGC,oildrillingandexploration,GGC,gujaratgas
183,http://www.moneycontrol.com/india/stockpricequote/shipping/gujaratpipavavport/GPP03,shipping,GPP03,gujaratpipavavport
184,http://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricantsindia/GOL01,lubricants,GOL01,gulfoillubricantsindia
185,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hathwaycabledatacom/HCD,mediaentertainment,HCD,hathwaycabledatacom
186,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/hatsunagroproducts/HAP,foodprocessing,HAP,hatsunagroproducts
187,http://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01,electricequipment,HI01,havellsindia
188,http://www.moneycontrol.com/india/stockpricequote/computershardware/hclinfosystems/HCL,computershardware,HCL,hclinfosystems
189,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,computerssoftware,HCL02,hcltechnologies
190,http://www.moneycontrol.com/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF,financehousing,HDF,housingdevelopmentfinancecorporation
191,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/hdfcbank/HDF01,banksprivatesector,HDF01,hdfcbank
192,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,constructioncontractingrealestate,HDI,housingdevelopmentinfrastructure
193,http://www.moneycontrol.com/india/stockpricequote/cementmajor/heidelbergcementindia/HCI02,cementmajor,HCI02,heidelbergcementindia
