,LINK,company_code,company_category,company_name,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,sector
98,http://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11,CI11,miningminerals,coalindia,37.40,199.00%,7.13%,14.97,10.00,15.10,"173,217.75",1,18.60,18.64,7.46,MINING & MINERALS
99,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/coffeedayenterprises/CDE,CDE,foodprocessing,coffeedayenterprises,82.96,0.00%,-%,-,10.00,49.47,"6,454.80",1,-,-,3.68,FOOD PROCESSING
100,http://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI,CPI,personalcare,colgatepalmoliveindia,71.59,1000.00%,0.82%,24.76,1.00,66.23,"33,145.53",1,39.94,49.22,17.02,PERSONAL CARE
101,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI,CCI,transportlogistics,containercorporationindia,332.59,171.00%,1.35%,43.04,10.00,25.25,"30,762.05",1,21.34,29.33,3.80,TRANSPORT & LOGISTICS
102,http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,CI45,fertilisers,coromandelinternational,118.72,500.00%,1.19%,22.55,1.00,14.80,"12,300.39",1,16.26,18.65,3.54,FERTILISERS
103,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/corporationbank/CB,CB,bankspublicsector,corporationbank,61.14,0.00%,-%,-,2.00,12.43,"5,004.97",1,-,-,0.49,BANKS - PUBLIC SECTOR
104,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/coxkings/CK,CK,miscellaneous,coxkings,171.74,20.00%,0.47%,9.97,5.00,21.95,"3,773.19",1,18.23,21.43,1.24,MISCELLANEOUS
105,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,CRI,miscellaneous,crisil,113.04,2800.00%,1.58%,33.16,1.00,51.31,"12,739.27",1,47.78,53.50,15.69,MISCELLANEOUS
106,http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,CI02,engines,cumminsindia,160.56,700.00%,2.03%,25.56,2.00,25.13,"19,072.75",1,23.78,26.92,4.29,ENGINES
107,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07,IE07,computerssoftware,cyient,202.30,210.00%,1.44%,35.59,5.00,21.82,"8,219.09",1,18.16,20.45,3.60,COMPUTERS - SOFTWARE
108,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,DI,personalcare,daburindia,26.78,225.00%,0.59%,6.07,1.00,66.23,"67,718.58",1,57.65,63.16,14.32,PERSONAL CARE
