,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,company_code
0,94.86,1470.00%,9.66%,21.67,2.00,13.77,"128,639.84",1,12.09,14.05,3.21,HZ
0,210.84,110.00%,0.46%,6.40,1.00,24.70,"53,308.76",1,17.46,37.10,1.13,HI
0,1617.38,100.00%,0.05%,282.45,10.00,37.67,"16,210.67",1,61.19,64.91,11.34,HA04
0,120.46,300.00%,9.80%,41.72,10.00,8.41,"46,659.45",1,5.12,7.34,2.54,HPC
0,210.91,200.00%,1.17%,10.34,2.00,25.51,"2,478.68",1,13.13,33.16,1.63,HSI02
0,32.69,2000.00%,1.23%,24.19,1.00,66.23,"350,929.00",1,61.41,67.02,49.59,HU
0,150.70,125.00%,0.89%,10.54,2.00,32.64,"181,540.06",1,26.78,26.78,1.87,ICI02
0,47.81,78.00%,1.95%,11.28,10.00,57.66,"57,501.16",1,35.51,35.51,8.38,IPL01
0,559.34,270.00%,0.81%,101.30,10.00,51.31,"3,287.89",1,31.93,32.77,5.94,ICR
0,26.38,0.00%,-%,-,10.00,12.43,"24,857.17",1,-,-,2.25,IDB05
0,45.18,0.00%,-%,-,10.00,341.93,"26,420.48",1,7.47,-,1.34,IC8
0,61.38,0.00%,-%,0.93,10.00,5.80,"7,957.83",1,51.93,53.60,0.81,IDF
0,45.65,7.50%,1.73%,2.52,10.00,32.64,"14,722.76",1,14.42,17.16,0.95,IDF01
0,27.76,0.00%,-%,-,10.00,5.80,"2,840.79",1,-,-,0.60,IFC02
0,51.39,85.00%,0.65%,9.58,2.00,32.84,"18,413.52",1,21.61,27.46,5.12,IG04
0,47.01,225.00%,0.62%,6.41,2.00,36.62,"23,067.86",1,112.62,112.80,15.38,II15
0,93.66,20.00%,4.12%,7.65,10.00,25.25,"1,598.75",1,5.83,6.35,0.52,ITN
0,165.25,10.00%,0.87%,3.25,10.00,36.29,"3,573.76",1,10.02,35.55,0.70,IC
0,361.84,1350.00%,2.27%,83.61,2.00,36.62,"50,822.14",1,14.14,14.25,3.29,IHF01
0,128.97,0.00%,-%,-,2.00,30.60,"8,122.63",1,-,-,1.32,IRE01
0,42.13,50.00%,0.21%,0.96,2.00,36.62,"26,468.08",1,492.58,507.97,11.57,IS13
0,329.53,0.00%,-%,26.21,10.00,12.43,"16,891.86",1,11.29,13.42,1.07,IB04
0,34.48,35.00%,0.26%,1.21,1.00,69.32,"15,769.57",1,53.25,109.59,3.85,IHC
0,48.51,40.00%,1.18%,6.64,2.00,14.46,"1,341.33",1,8.31,10.23,1.40,ICI07
0,75.21,80.00%,0.80%,4.47,2.00,29.05,"1,832.87",1,16.83,44.50,2.64,IR05
0,397.47,60.00%,0.31%,60.06,10.00,32.64,"118,030.67",1,32.73,32.73,4.95,IIB
0,12.54,0.00%,-%,0.15,1.00,745.23,"10,125.19",1,191.00,"1,018.67",12.19,IIL03
0,177.69,45.00%,0.36%,14.96,10.00,39.36,"15,231.60",1,74.68,83.51,7.03,IEI01
0,290.74,515.00%,2.01%,73.97,5.00,21.82,"279,666.55",1,15.92,17.31,4.40,IT
0,364.43,60.00%,1.05%,28.16,10.00,32.28,"1,809.16",1,17.83,20.35,1.57,IRI01
0,72.59,0.00%,-%,11.89,10.00,35.36,"2,553.24",1,12.68,22.26,3.65,INO01
0,90.47,0.00%,-%,-,10.00,23.24,"1,871.88",1,-,-,0.93,IW
0,55.77,0.00%,-%,2.61,5.00,21.82,"2,683.65",1,46.28,81.74,3.83,IDA
0,157.24,340.00%,2.79%,58.33,10.00,19.25,"46,880.34",1,17.50,20.91,7.76,IA04
0,15.78,0.00%,-%,-,10.00,12.43,"7,507.33",1,-,-,0.97,IOB
0,102.81,190.00%,11.30%,21.98,10.00,8.41,"163,255.52",1,5.75,7.65,1.64,IOC
0,214.34,50.00%,0.15%,18.45,2.00,29.05,"8,559.09",1,21.00,36.72,3.16,IL
0,83.92,50.00%,2.19%,12.64,10.00,30.60,"8,039.42",1,18.10,18.10,2.73,IID01
0,1692.49,300.00%,0.54%,161.81,10.00,23.24,"4,053.28",1,21.78,34.07,3.26,SIS06
0,46.35,475.00%,1.80%,9.20,1.00,28.93,"322,803.60",1,26.11,28.75,5.71,ITC
0,36.03,40.00%,0.28%,4.92,1.00,30.60,"2,460.00",1,17.61,29.11,3.97,ITD03
0,201.62,40.00%,0.77%,18.05,5.00,30.60,"1,969.95",1,9.41,14.42,1.29,KI01
0,323.51,80.00%,0.87%,48.89,10.00,36.29,"6,396.94",1,12.11,18.71,2.83,JKC03
0,62.08,150.00%,2.02%,8.54,2.00,15.58,"4,616.68",1,13.25,17.36,2.39,JP12
0,62.13,50.00%,0.33%,1.37,1.00,60.72,"2,678.53",1,67.31,109.56,2.42,JC08
0,92.69,37.50%,0.77%,5.66,2.00,17.69,"4,854.46",1,10.29,17.28,1.06,JIS02
0,32.52,0.00%,-%,1.45,2.00,30.60,"3,514.90",1,4.09,9.97,0.44,JA02
0,181.36,50.00%,0.35%,15.32,2.00,29.05,"2,382.58",1,12.95,18.61,1.57,JBC01
0,194.42,10.00%,1.39%,-,10.00,12.72,591.11,1,9.16,-,0.37,JBF
0,-337.55,0.00%,-%,-,10.00,19.25,"4,399.06",1,-,-,-,JA01
0,53.31,0.00%,-%,16.77,2.00,11.58,"3,784.39",1,5.71,9.56,3.01,JSH
0,422.11,10.00%,0.43%,3.32,10.00,24.28,"1,025.26",1,8.79,70.53,0.55,JPF01
0,186.07,50.00%,1.04%,12.07,2.00,19.46,"3,061.65",1,4.77,7.93,0.51,JS08
0,221.19,0.00%,-%,-,1.00,9.66,"22,659.62",1,14.64,-,1.06,JSP
0,105.64,0.00%,-%,3.64,1.00,32.64,"3,215.86",1,15.87,15.87,0.55,JKB
0,124.55,15.00%,0.23%,7.14,5.00,36.29,"3,911.94",1,14.86,46.56,2.67,JKL01
0,75.70,125.00%,1.95%,1.90,2.00,27.04,"2,905.48",1,13.32,67.42,1.69,JKT01
